PubmedID,Title,Publication Date,Non-academic Author(s),Company Affiliation(s),Corresponding Author Email
40644751,"Multiple myeloma: Insights into underlying mechanisms, advances in diagnostic and therapeutic modalities.",2025,,,
40644749,Does Size Predict Aggressiveness?: Exploring Sporadic Multifocal Tumors in a 10-Year Retrospective Analysis.,2025,,,
40644746,Mapping economic outcomes: how biosimilars enhance access to health systems in Latin America and the Caribbean.,2025,,,
40644745,T-cell engager toxicity in clinical phase trials; A systematic review and meta-analysis.,2025,,,
40644725,Stratification of glioblastoma patient survival based on tumor core and edge metabolomic data.,2025,Frieboes HB,5Pharmacology and Toxicology.,
40644704,Machine-Learning-Driven Discovery of ,2025,,,
40644699,Identifying People Living With or Those at Risk for HIV in a Nationally Sampled Electronic Health Record Repository Called the National Clinical Cohort Collaborative: Computational Phenotyping Study.,2025,,,
40644698,Antitumor and Cytogenotoxic Activities of Libidibia ferrea Hydroalcoholic Extracts in Murine Breast Carcinoma.,2025,,,
40644662,Engineered Nano-Micro Pyroptosis Generators: A Magnetic-Metallo-Immunotherapeutic Strategy to Reinforce Transarterial Embolization.,2025,,,
40644657,"Stereotactic Radiosurgery in Patients With Small Cell Lung Cancer and 1-10 Brain Metastases: A Multi-Institutional, Phase II, Prospective Clinical Trial.",2025,,,
40644648,Efficacy and Safety of Avutometinib ± Defactinib in Recurrent Low-Grade Serous Ovarian Cancer: Primary Analysis of ENGOT-OV60/GOG-3052/RAMP 201.,2025,,,
40644647,Microbiome Modulation for the Treatment of Solid Neoplasms.,2025,Barragan-Carrillo R,"Instituto Nacional de Cancerologia, Mexico City, Mexico.",
40644645,Expanding the Pediatric Neuro-Oncology Teleconference Experience: From Twinning to International Cases Discussions.,2025,,,
40644644,"Primary Mediastinal Germ Cell Tumors: A Real-World Analysis of Clinical Characteristics, Treatment, and Survival Outcomes From Two Tertiary Cancer Centers in India.",2025,,,
40644643,Prevalence of Germline Variants in Advanced Renal Cell Carcinoma in North India.,2025,,,
40644642,Screening for Financial Toxicity and Health-Related Social Risks in Patients With GI Cancer: Results From a Large Cancer Center.,2025,,,
40644640,Consumer Wearable Device Measures of Gait Cadence and Activity Fragmentation as Predictors of Survival Among Patients Undergoing Chemotherapy.,2025,,,
40644638,Amplifying Endoplasmic Reticulum Stress With Adenosine Triphosphate-Coated Gold Nanoclusters: A Promising Approach for the Treatment of Vestibular Schwannoma.,2025,,,
40644624,Size-Specific Predictors for Malignancy Risk in Follicular Thyroid Neoplasms: Machine Learning Analysis.,2025,,,
40644619,Sequential BCMA CAR-T Cell Therapy in Refractory Multiple Myeloma.,2025,,,
40644608,Risk of total and cause-specific mortality in patients with rheumatoid arthritis-associated interstitial lung disease or bronchiectasis.,2025,,,
40644553,G proteins of the G,2025,,,
40644541,Transition of cellular senescence to pyroptosis mediates recurrence of small cell lung cancer after chemotherapy.,2025,,,
40644540,Complex I inhibition combined with TLR activation in the breast tumor microenvironment educates cytotoxic neutrophils.,2025,,,
40644532,Wearing bacteriophages individually with an adhesive drug-loadable nanohelmet for treating ocular infections.,2025,,,
40644511,Multimodal delineation of a layer of effector function among exhausted CD8 T cells in tumors.,2025,,,
40644464,Losartan as a mechanotherapeutic adjuvant: Remodeling the breast tumor microenvironment to improve treatment efficacy.,2025,,,
40644440,Herd immunity and prevention in HPV transmission with exogenous reinfection.,2025,,,
40644432,"Cytotoxic activity of Ganoderma weberianum-sichuanese isolated from the Lower Volta River Basin of Ghana against human prostate carcinoma (PC-3), leukemic T cell (Jurkat), and plasmacytoid dendritic cell (pDC)-derived acute leukemia (PMDC05) cell lines.",2025,Holliday JC,"Aloha Medicinals, Inc., Carson City, Nevada, United States of America.",
40644420,"Adverse event profile differences among long-acting gonadotropin-releasing hormone analogs: A real-world, pharmacovigilance study.",2025,,,
40644418,Biweekly CAPOX versus triweekly CAPOX in the adjuvant therapy of post-surgery CRC: A randomized controlled trial.,2025,,,
40644367,"Knowledge, attitude and practices towards cervical cancer control among University students in Kilimanjaro region, Tanzania.",2025,,,
40644343,Effects of magnesium concentration on the regulation of nutrition and inflammation in nutritional support for cancer patients.,2025,,,
40644332,"Antibody-drug Conjugate Biomarker Expression in Gestational Trophoblastic Disease: Folate Receptor Alpha, Nectin-4, Trop-2, and Tissue Factor.",2025,,,
40644324,AMCP Market Insights: Payer best practices in food allergy management.,2025,,,
40644316,"Trimodal Ni(II) Complex of Natural Coumarin: Enhanced Lung Cancer Therapy through Chemo, Photodynamic, and Photothermal Approaches under Red and NIR Light.",2025,,,
40644310,Endoglin mediates the tumor- and metastasis-promoting traits of stromal myofibroblasts in human breast carcinomas.,2025,,,
40644302,Triglyceride metabolism controls inflammation and microglial phenotypes associated with APOE4.,2025,,,
40644296,The catalytic efficiency of METTL16 affects cellular processes by governing the intracellular S-adenosylmethionine setpoint.,2025,,,
40643985,Phase Ib Study of Pembrolizumab in Combination with Intratumoral Injection of Clostridium novyi-NT in Patients with Advanced Solid Tumors.,2025,Kreider BL; Tung D,"BioMed Valley Discoveries, Inc., Kansas City, MO, United States.",
40643963,PI3K/AKT signaling in parasites and parasite diseases: Role and therapeutic potential.,2025,,,
40643949,Machine Learning for Genomic Profiling and Drug Discovery in Personalised Lung Cancer Therapeutics.,2025,,,
40643947,Phase I clinical trial of the bifunctional EGFR/TGF-β fusion protein ficerafusp alfa (BCA101) alone and in combination with pembrolizumab for advanced solid tumors.,2025,Hernando-Calvo A; Bohr DN; Reiners RD; Gharakhani E; Salazar R,"Bicara Therapeutics, Boston, Massachusetts, United States.; Princess Margaret Cancer Centre, Toronto, Ontario, Canada.",
