PubmedID,Title,Publication Date,Non-academic Author(s),Company Affiliation(s),Corresponding Author Email
40632464,Quercetin and Kaempferol Mitigate Endotoxin-Induced Skeletal Muscle Wasting by Inhibiting KLF15 Expression and Restoring the Antioxidant System.,2025,,,
40632094,Global prescription patterns and practices: Utilization of statins in diabetes management across nations.,2025,,,
40631878,Efficacy and safety of low-dose rosuvastatin/ezetimibe for dyslipidemia in patients with rheumatoid arthritis or osteoarthritis.,2025,,,
40631631,Challenges and Opportunities for Understanding the Pathogenesis of Type 1 Diabetes: An Endocrine Society Scientific Statement.,2025,,,
40631627,SRSF3 Inhibits High Glucose and Palmitic Acid-Induced Cardiomyocyte Apoptosis Through the PI3K/AKT and NF-κB Pathways.,2025,,,
40631457,Exploring the Side Effects of GLP-1 Receptor Agonist: To Ensure Its Optimal Positioning.,2025,,,
40631362,Real-world outcomes of early and deferred anti-VEGF treatment in diabetic macular oedema in patients with type 1 diabetes.,2025,,,
40631351,Semaglutide Therapy and Accelerated Sarcopenia in Older Adults with Type 2 Diabetes: A 24-Month Retrospective Cohort Study.,2025,,,
40631235,Long-acting hydrogel-based depot formulations of tirzepatide and semaglutide for the management of type 2 diabetes and weight.,2025,,,
40630748,Invasive Mucormycosis in a Chronic Lymphocytic Leukemia Patient on Zanubrutinib: A Case Report.,2025,,,
40630119,An analysis of gene expression profiles through machine learning uncovers the new diagnostic signature for diabetic foot ulcers.,2025,Li Y; Xiao N; Wang J,"Hand and Foot Surgery and Burn and Plastic Surgery, Jilin Province FAW General Hospital, Changchun, Jilin, China.; Office of Clinical Trial Institutions, Jilin Province FAW General Hospital, Changchun, Jilin, China.",
40630104,SGLT2 inhibitors as metabolic modulators: beyond glycemic control in type 2 diabetes.,2025,,,
40629682,Ten Year Outcome of Anti-Thyroid Drug Treatment for First Episode Graves' Thyrotoxicosis: The Predictive Importance of TRAb.,2025,,,
40629621,Efficacy and outcomes of dapagliflozin in diabetic nephropathy: A systematic review and meta-analysis.,2025,,,
40629618,A rare presentation of Wilson disease with normal levels of serum ceruloplasmin and copper and MODY: A case report.,2025,,,
40629254,"Letter to the Editor from Su and Hasebe: ""Genomic Correlations, Shared Loci, and Drug Targets Between Polycystic Ovary Syndrome and Asthma: Insights From Genome-wide Association Analysis"".",2025,,,
40629232,Innovative Microneedle-based Therapies for the Treatment of Diabetic Wound Healing.,2025,,,
40629149,CagriSema drives weight loss in rats by reducing energy intake and preserving energy expenditure.,2025,,,
40629042,Structural insights into GPCR signaling activated by peptide ligands: from molecular mechanism to therapeutic application.,2025,,,
40628905,Deciphering the role of crucial miRNAs involved in diabetic cardiomyopathy through a multiomics approach.,2025,,,
40628673,Effectiveness of semaglutide on survival outcomes in patients with type 2 diabetes and chronic kidney disease.,2025,,,
40628456,Stigmatising language made me avoid diabetes care; meaningful engagement with people with diabetes is the answer.,2025,,,
40628453,Engaging with patients in humanitarian crises: learning from access to insulin in Ukraine.,2025,,,
40628357,Shed light on molecular immunogenetic pathophysiology of type 1 diabetes to improve advanced treatment strategies.,2025,,,
40628316,Characterization of 0839 - A tool compound for pre-clinical mode-of-action studies of amylin analogues such as cagrilintide.,2025,,,
40627548,Changes in β-Cell Function and Insulin Sensitivity During Treatment With Dapagliflozin Alone or in Combination With Exenatide in Type 2 Diabetes.,2025,,,
40627504,"Preparation, Characterization, and Functional Evaluation of a Novel Recombinant Hypoglycemic Protein with Multifunctional Effects.",2025,,,
40627345,Canagliflozin may increase thromboembolic events in males with erythrocytosis but not in females.,2025,,,
40627322,"Exploring chemical constituents and anti-inflammatory mechanisms of Semiaquilegiae Radix via an integrated strategy combining UHPLC-Q-TOF-MS analysis, network pharmacology and molecular docking.",2025,,,
40627270,A python-based novel vertex-edge-weighted modeling framework for enhanced QSPR analysis of cardiovascular and diabetes drug molecules.,2025,,,
40627252,"Facile indazole-endowed thiadiazole hybrid derivatives as antibacterial, anti-diabetic and thymidine phosphorylase inhibitors: An insight to experimental, in-vitro biological potential and computational approaches.",2025,,,
40626736,[Not Available].,2025,,,
40626734,"Integration of Pharmacodynamics, Proteomics, and Metabolomics to Elucidate Effect and Mechanism of Rehmanniae Radix in the Treatment of T2DM.",2025,,,
40626725,"A highly conserved sRNA downregulates multiple genes, including a σ",2025,,,
40626717,Efficacy and toxicity analysis of ganciclovir in patients with cytomegalovirus lung infection: what is new for target range of therapeutic drug monitoring.,2025,,,
40626550,"Lipid Nanocarriers of Naringin Dispersed Gel for Topical Application: Development, In Vitro, Ex Vivo, and In Vivo Kinetics Evaluations.",2025,,,
40626363,Polyfunctional T follicular helper cells drive checkpoint-inhibitor diabetes and are targeted by JAK inhibitor therapy.,2025,,,
40626101,"""An Effective Solution to Accelerate the Healing of Complex Ulcers Using Recombinant Human Epidermal Growth Factor (Intralesional Application): A Review"".",2025,,,
40625684,The impact of sulfonylureas on diverse ion channels: an alternative explanation for the antidiabetic actions.,2025,,,
40624988,Delphi Consensus Among French Obesity Experts on Clinical Recommendations for Drug Prescription in Patients With Severe Obesity.,2025,Laforgue EJ,"Nantes Université, CHU Nantes, Service de Pharmacologie Clinique, Nantes, France.",
40624950,Contemporary evidence of non-steroidal mineralocorticoid receptor antagonists in cardio-kidney-metabolic syndrome.,2025,,,
40624547,Impact of SGLT2 inhibitors on myocardial fibrosis in diabetic HFpEF: a longitudinal study.,2025,,,
40624113,GDM enhanced acetylcholine induced vasoconstriction in human umbilical vein via CHRM3 and CACNA1C upregulation linked to promoter hypomethylation.,2025,,,
40624065,Resistance training and ursolic acid consumption affect hepatokines in aged diabetic rat liver.,2025,,,
40623995,Microneedle-based integrated pharmacokinetic and pharmacodynamic evaluation platform for personalized medicine.,2025,,,
40623856,Improving the rates of inpatient HbA,2025,,,
40623726,Nanozymes in the Repair of Fundus Damage.,2025,,,
40623462,TRIB3 at the nexus of metabolic disorders: In-depth analysis of biochemical mechanisms and concepts for drug discovery.,2025,,,
40623005,Efficacy and safety of balcinrenone and dapagliflozin for CKD: design and baseline characteristics of the MIRO-CKD trial.,2025,De Sousa-Amorim E; Eriksson AL; Zachrisson ML; Guzman NJ; Miller MT; Jiang Y,"Late-stage Development, Cardiovascular, Renal, and Metabolism, BioPharmaceuticals R&D, AstraZeneca, Gothenburg, Sweden.; Late-stage Development, Cardiovascular, Renal, and Metabolism, BioPharmaceuticals R&D, AstraZeneca, Gaithersburg, MD, USA.; Late-stage Development, Cardiovascular, Renal, and Metabolism, BioPharmaceuticals R&D, AstraZeneca, Warsaw, Poland.; Biometrics, Late Cardiovascular, Renal, and Metabolism, BioPharmaceuticals R&D, AstraZeneca, Gaithersburg, MD, USA.",
40622867,Predicting and Validating the Regulation of Podocyte Injury and Treatment of Diabetic Kidney Disease by Yinhuo Tang.,2025,,,
40622491,Gastrointestinal Motility Effects of GLP-1 Receptor Agonists.,2025,,,
40622480,Multi-level association rule mining and network pharmacology to identify the polypharmacological effects of herbal materials and compounds in traditional medicine.,2025,,,
40622307,Tuberculosis treatment failure: what are the risk factors? A comprehensive literature review.,2025,,,
40621887,Hypoglycemic effect and the post-treatment benefits of carrot pulp fermented by Lactobacillus casei NCU215 in type 2 diabetic mice: insights from gut microbiota regulation and restoration of pancreatic islet function.,2025,,,
40621710,L-quebrachitol Modulates the Anti-convulsant Effects of Carbamazepine Possibly Through Voltage-gated Sodium Channel Blocking Mechanism in Chicks: In Vivo and In Silico Studies.,2025,,,
40621620,Arid1a deficiency sensitises pancreatic cancer to fatty acid synthase inhibition.,2025,,,
40621522,Clinical efficacy of losartan potassium combined with alprostadil in early diabetic nephropathy and its effect on renal function.,2025,,,
40621315,Lercanidipine-Induced Hyponatremia in Elderly Patients: A Not-So-Rare Complication.,2025,,,
40621132,Immunoregulation of Quercetin and Kynurenic Acid on Human Umbilical Cord Mesenchymal Stem Cells Through Gene Expression of Aryl Hydrocarbon Receptor and Interleukin-6 in Hyperglycemic Milieu.,2025,,,
40621070,Predictors of Patency Following Infrainguinal Arterial Interventions Under Intravascular Ultrasound Guidance: Analysis from the iDissection Studies.,2025,,,
