PubmedID,Title,Publication Date,Non-academic Author(s),Company Affiliation(s),Corresponding Author Email
40632583,Engineering Magnesium Oxide as a Mitochondrial Electron Transport Chain Inhibitor for Enhanced Photodynamic Therapy in Triple-Negative Breast Cancer.,2025,,,
40632561,Monensin suppresses EMT-driven cancer cell motility by inducing Golgi pH-dependent exocytosis of GOLIM4.,2025,,,
40632560,The pathogenic factor of ZC4H2-associated rare disorder is a postsynaptic regulator for synaptic activity and cognitive function.,2025,,,
40632544,Antiproliferative and Apoptotic Effects of Mono/Combined Treatment of Abemaciclib and Regulation of Neuroblastoma-Related miRNAs.,2025,,,
40632530,Current Position and Future Direction of Inflammation in Neuropsychiatric Disorders: A Review.,2025,,,
40632525,Ixekizumab and Malignant Neoplasms: A Pooled Analysis of Data From 25 Randomized Clinical Trials.,2025,,,
40632461,Cost-Effectiveness of Pembrolizumab Monotherapy for High Programmed Death Ligand 1 Advanced or Metastatic Non-small Cell Lung Cancer Depends on Long-Term Survivors.,2025,,,
40632454,In-Hospital Outcomes of Bariatric Surgery in People Living with HIV: A Nationwide Analysis.,2025,,,
40632445,Insight into Bacteriophage Therapy for Bacterial Infections and Cancer.,2025,,,
40632444,The Role of Cetuximab in Non-Melanoma Skin Cancer: A Review of Clinical Evidence and Emerging Strategies.,2025,,,
40632443,Role of Volumetric Modulated Arc radioTherapy (VMAT) in the adjuvant treatment of locally advanced differentiated thyroid cancer: single institution experience.,2025,,,
40632432,Cross-specialty impact in the adoption of minimally invasive surgery in abdominal surgical oncology at the hospital level.,2025,,,
40632416,An observational study of the effectiveness and safety of nivolumab plus chemotherapy for untreated advanced or recurrent gastric cancer in Japanese real-world settings: the G-KNIGHT study.,2025,Matsuda Y,"Medical Affairs, Ono Pharmaceutical Co. Ltd, Osaka, Japan.",
40632415,"Q-TWiST analysis of first-line nivolumab plus chemotherapy versus chemotherapy in patients with advanced gastric cancer, gastroesophageal junction cancer, or esophageal adenocarcinoma from CheckMate 649: 4-year follow-up results.",2025,Chen C; Singh P; Davis C,"Bristol Myers Squibb, Route 206 and Province Line Road, Princeton, NJ, 08543, USA.",
40632413,Sleep Disturbances in Survivors of Childhood Acute Lymphoblastic Leukemia: A Cross-Sectional Study.,2025,,,
